shift_Id,doct_Id,nurse_Id,helper_Id,shift_Date,shift_Start,shift_End
70001,1147,3001,8001,19-05-2025,08:00:00,12:00:00
70002,1149,3002,8002,20-05-2025,14:00:00,16:00:00
70003,1148,3003,8003,21-05-2025,06:00:00,14:00:00
70004,1150,3004,8004,22-05-2025,14:00:00,22:00:00
70005,1147,3005,8005,23-05-2025,18:00:00,02:00:00
70006,1156,3006,8006,24-05-2025,22:00:00,06:00:00
70007,1152,3007,8007,25-05-2025,08:00:00,16:00:00
70008,1174,3008,8008,26-05-2025,12:00:00,20:00:00
70009,1153,3009,8009,27-05-2025,08:00:00,16:00:00
70010,1151,3010,8010,28-05-2025,14:00:00,22:00:00
70011,1178,3011,8011,29-05-2025,08:00:00,16:00:00
70012,1147,3012,8012,30-05-2025,14:00:00,22:00:00
70013,1180,3013,8013,31-05-2025,08:00:00,16:00:00
70014,1169,3014,8014,01-06-2025,14:00:00,22:00:00
70015,1178,3015,8015,02-06-2025,07:00:00,15:00:00
70016,1001,3016,8016,19-05-2025,15:00:00,23:00:00
70017,1002,3017,8017,20-05-2025,19:00:00,03:00:00
70018,1001,3018,8018,21-05-2025,23:00:00,07:00:00
70019,1002,3019,8019,22-05-2025,07:00:00,15:00:00
70020,1048,3020,8020,23-05-2025,15:00:00,23:00:00
70021,1043,3021,8021,24-05-2025,19:00:00,03:00:00
70022,1060,3022,8022,25-05-2025,23:00:00,07:00:00
70023,1090,3023,8023,26-05-2025,08:00:00,16:00:00
70024,1092,3024,8024,27-05-2025,14:00:00,22:00:00
70025,1082,3025,8025,28-05-2025,08:00:00,16:00:00
70026,1093,3026,8026,29-05-2025,08:00:00,16:00:00
70027,1097,3027,8027,30-05-2025,14:00:00,22:00:00
70028,1103,3028,8028,31-05-2025,08:00:00,16:00:00
70029,1105,3029,8029,01-06-2025,14:00:00,22:00:00
70030,1098,3030,8030,02-06-2025,08:00:00,16:00:00
70031,1107,3031,8031,19-05-2025,08:00:00,16:00:00
70032,1108,3032,8032,20-05-2025,14:00:00,22:00:00
70033,1112,3033,8033,21-05-2025,08:00:00,16:00:00
70034,1113,3034,8034,22-05-2025,14:00:00,22:00:00
70035,1118,3035,8035,23-05-2025,08:00:00,16:00:00
70036,1120,3036,8036,24-05-2025,14:00:00,22:00:00
70037,1123,3037,8037,25-05-2025,08:00:00,16:00:00
70038,1122,3038,8038,26-05-2025,14:00:00,22:00:00
